dc_id,bus,C_job,pdc_kW,qdc_kVar
0,24,2000.0,1399.9999897651508,284.28212280933104
1,30,2000.0,1.0238035929563133e-05,2.0789218633799014e-06
-1,-1,4000.0,1400.0000000031866,284.2821248882529
