from_bus,to_bus,P_MW,Q_MVar,l_pu,I_magnitude_pu,r_ij,x_ij
1,2,5.407758219974154,2.491385103537605,0.35450850192847594,0.5954061655109695,0.005752591161723931,0.002932448856844086
2,3,4.926225239537895,2.2599085433363366,0.2960187301554887,0.5440760334323583,0.03075951673242839,0.0156667639990117
3,4,2.3645502444886537,1.6854198717767206,0.0882629275150363,0.2970907731906804,0.022835665566062455,0.011629967381185907
4,5,2.22439481760998,1.595154922141531,0.07965301549764965,0.28222865817923176,0.023777792751984703,0.012110389853477383
5,6,2.145455088253922,1.5555086311371729,0.07581727946957784,0.2753493771003992,0.05109948114372992,0.04411151791039933
6,7,1.0955314339493976,0.5281199848834369,0.016601431332597796,0.12884654179526045,0.011679881404281126,0.0386084968641515
7,8,0.8935924101865044,0.4217104235976477,0.01104044046943552,0.10507350031970725,0.044386045037423036,0.014668483537107332
8,9,0.6886919943859892,0.3200909579647033,0.006590042805959906,0.08117907862226514,0.0642643047350938,0.046170471363077094
9,10,0.6244569487091866,0.2970483039208112,0.005538223196651582,0.07441923942537697,0.06513780013926013,0.046170471363077094
10,11,0.560849471358545,0.2744912798805182,0.004573137750465411,0.06762497874650616,0.012266371175649942,0.004055514376486502
11,12,0.5152885178093703,0.24430581776745736,0.0038215450897634076,0.0618186467804287,0.02335976280856225,0.00772419507398506
12,13,0.4543958110935705,0.20901063280500984,0.002949308832412685,0.05430753936989491,0.09159223237972591,0.07206337084372169
13,14,0.39169447276566693,0.17188526121799608,0.0021862566414608746,0.04675742338346794,0.03379179363546291,0.04447963383072657
14,15,0.2709556971864304,0.09091282219232456,0.0009808884819633218,0.03131913922768826,0.03687398456159265,0.032818470185106155
15,16,0.21059400470928746,0.080590909678408,0.0006124812920160365,0.024748359380290977,0.046563544294951936,0.03400392823361759
16,17,0.1503088118573121,0.06038264204885757,0.00031703311703574854,0.017805423809495482,0.08042396971217078,0.10737754218358876
17,18,0.09005384113935247,0.04004221969132794,0.00011788833266358703,0.010857639368830918,0.04567133113212491,0.03581331157081926
2,19,0.3611395559931291,0.16108077982576183,0.0015757770258045668,0.03969605806379982,0.01023237473451979,0.009764430768002116
19,20,0.27097831661594995,0.12092691418689241,0.0008882897853274566,0.029804190734315478,0.09385084192478454,0.08456683362907391
20,21,0.1801446490981334,0.08017571563725263,0.0003950600000405083,0.019876116321870033,0.02554974057186496,0.029848585810940652
21,22,0.09004371214605554,0.040057795761975046,9.882918141848702e-05,0.009941286708393789,0.04423006371525048,0.05848051730893536
3,23,2.380621063891262,0.48811211560109563,0.0618195712497154,0.24863541833317995,0.028151509025703222,0.019235616650319823
23,24,2.273217921925446,0.42622073991091364,0.05690086789760187,0.2385390280386039,0.05602849092438275,0.04424254222102428
24,25,0.421337226119081,0.2010463495235965,0.0023920166323683975,0.04890824707928508,0.0559037058666447,0.043743401990072095
6,26,0.9511814123102886,0.973944488984233,0.020801615389074345,0.14422765126380704,0.01266568336041169,0.00645138748505699
26,27,0.8885467497125343,0.9476025004409325,0.01901830249914684,0.13790686168261113,0.017731956704576366,0.009028198927347643
27,28,0.8251744314718551,0.9208854890839622,0.017326494231908154,0.1316301418061538,0.06607368807229547,0.05825590420500687
28,29,0.7537261780893633,0.8907917835938333,0.015815586542095975,0.12576003555222134,0.05017607171646838,0.04371220572563759
29,30,0.62579053845049,0.8138784423736076,0.012463931160453936,0.11164197759111012,0.03166420840102922,0.016128468712642473
30,31,0.42184393226075895,0.2118682012018527,0.002655780410531627,0.05153426443184793,0.06079528012997611,0.06008400530086925
31,32,0.2702293424994975,0.14027250167309535,0.001114961994206946,0.033391046617423446,0.019372880213831673,0.02257985619769946
32,33,0.06001334210252361,0.04002074479510814,6.271002287937916e-05,0.007918966023375726,0.02127585234433688,0.03308051880635605
